clade_name	tiny-test-data-mt	SRS1007613
UNKNOWN	100.0	0
k__Bacteria	0	100.0
k__Bacteria|p__Actinobacteria	0	23.35887
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	23.35887
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0	23.35887
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	0	23.35887
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0	23.35887
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_glutamicum	0	23.35887
k__Bacteria|p__Firmicutes	0	3.5752800000000002
k__Bacteria|p__Firmicutes|c__Bacilli	0	3.5752800000000002
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0	3.5752800000000002
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0	3.5752800000000002
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0	3.5752800000000002
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis	0	3.5752800000000002
k__Bacteria|p__Proteobacteria	0	73.06585
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0	19.34361
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	0	19.34361
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	0	19.34361
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseobacter	0	19.34361
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseobacter|s__Roseobacter_denitrificans	0	19.34361
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0	27.710259999999998
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0	14.25895
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0	14.25895
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas	0	14.25895
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas|s__Polaromonas_naphthalenivorans	0	14.25895
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0	13.451310000000001
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae	0	13.451310000000001
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Chromobacterium	0	13.451310000000001
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae|g__Chromobacterium|s__Chromobacterium_violaceum	0	13.451310000000001
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0	26.01199
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0	26.01199
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0	26.01199
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	0	26.01199
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0	26.01199
